scenario,nSta,offeredPerSta,totalOffered,throughput,loss,delayMs,jitterMs,efficiency,fairness
single_sta_load_sweep,1,10,10,10.2333,0,0.197018,0.00580837,102.333,1
single_sta_load_sweep,1,20,20,20.4667,0,0.198722,0.00689345,102.333,1
single_sta_load_sweep,1,30,30,30.6978,0.00711111,0.444446,0.0692275,102.326,1
single_sta_load_sweep,1,40,40,40.929,0.0106667,0.61216,0.114545,102.322,1
single_sta_load_sweep,1,50,50,51.1568,0.0192,0.929012,0.081078,102.314,1
single_sta_load_sweep,1,60,60,61.3825,0.0284444,2.03036,0.0366612,102.304,1
single_sta_load_sweep,1,65,65,66.4757,0.0623585,4.82207,0.0161804,102.27,1
single_sta_load_sweep,1,70,70,67.0499,6.39848,225.391,0.0127337,95.7856,1
single_sta_load_sweep,1,80,80,67.099,18.0387,740.146,0.0292714,83.8738,1
single_sta_load_sweep,1,90,90,67.1012,27.1431,1023.29,0.0532938,74.5569,1
single_sta_load_sweep,1,100,100,67.1012,34.4288,1132.91,0.0736384,67.1012,1
single_sta_load_sweep,1,120,120,67.1034,45.3556,1229.08,0.104162,55.9195,1
single_sta_load_sweep,1,140,140,67.0619,53.1912,1273.02,0.126092,47.901,1
single_sta_load_sweep,1,160,160,67.1034,59.0167,1298.43,0.142662,41.9396,1
single_sta_load_sweep,1,180,180,67.1034,63.5708,1314.89,0.155668,37.2792,1
single_sta_load_sweep,1,200,200,67.1034,67.2133,1326.44,0.166055,33.5517,1
single_sta_load_sweep,1,300,300,67.1056,78.1415,1354.73,0.197967,22.3685,1
single_sta_load_sweep,1,400,400,67.1056,83.6061,1366.15,0.21403,16.7764,1
multi_sta_scaling,1,5,5,5.11721,0,0.196265,0.00431911,102.333,1
multi_sta_scaling,5,5,25,25.573,0.0511945,1.34758,0.815036,102.281,1
multi_sta_scaling,10,5,50,42.6973,16.5614,139.837,3.4098,85.3855,0.990699
multi_sta_scaling,15,5,75,40.3319,47.4559,238.796,3.51933,53.7701,0.894642
multi_sta_scaling,18,5,90,40.3603,56.1825,255.467,3.70304,44.84,0.899413
multi_sta_scaling,21,5,105,36.7036,65.8449,296.748,3.67013,34.952,0.882923
multi_sta_scaling,24,5,120,38.5548,68.6069,284.541,3.90745,32.1256,0.810573
multi_sta_scaling,27,5,135,35.9013,74.0156,303.136,3.89246,26.5907,0.838878
multi_sta_scaling,30,5,150,35.3391,76.9802,273.301,3.97491,23.5569,0.734006
multi_sta_scaling,35,5,175,34.5969,80.6832,291.587,3.87078,19.7675,0.725966
multi_sta_scaling,40,5,200,35.3293,82.74,253.805,3.68401,17.6628,0.531149
stress_test,5,10,50,50.3764,1.54453,62.7202,1.5579,100.753,0.999937
stress_test,5,20,100,54.9795,46.2741,1395.55,1.04038,54.9795,0.943229
stress_test,5,40,200,54.4872,73.3776,2927.23,0.836116,27.2436,0.991745
stress_test,10,10,100,47.7839,53.3056,454.86,1.85767,47.7839,0.839965
stress_test,10,20,200,46.616,77.2235,2096.86,1.82342,23.308,0.94749
stress_test,10,40,400,47.4194,88.4155,3083.63,1.65137,11.8548,0.928227
stress_test,15,10,150,42.1002,72.5732,583.924,2.50498,28.0668,0.870295
stress_test,15,20,300,43.9602,85.6807,2131.85,2.50538,14.6534,0.900189
stress_test,15,40,600,44.1687,92.8064,3019.22,2.10154,7.36145,0.654877
stress_test,20,10,200,40.9694,79.9824,722.922,2.8827,20.4847,0.860536
stress_test,20,20,400,41.0632,89.9683,2191.71,3.37241,10.2658,0.939766
stress_test,20,40,800,41.2171,94.9653,2631.26,3.30813,5.15214,0.833795
