scenario,nSta,totalOffered,thr5,thr6,total,loss,delayMs,jitterMs,efficiency,fairness
load_sweep,1,20,10.2279,10.2322,20.4601,0.032,0.198053,0.0053955,102.301,1
load_sweep,1,60,30.6771,30.6902,61.3673,0.0533333,0.444113,0.0690035,102.279,1
load_sweep,1,100,51.1241,51.1459,102.27,0.0618667,0.926974,0.0811131,102.27,1
load_sweep,1,140,67.0521,67.1383,134.19,6.33524,222.21,0.0126289,95.8503,1
load_sweep,1,180,67.0608,67.147,134.208,27.1401,1022.12,0.0532334,74.5599,1
load_sweep,1,220,67.0215,67.1492,134.171,40.4039,1191.46,0.0902395,60.9867,0.999999
load_sweep,1,260.002,67.063,67.1099,134.173,49.5721,1254.3,0.115896,51.6045,1
load_sweep,1,280.002,67.063,67.1514,134.214,53.1596,1272.34,0.125944,47.9333,1
load_sweep,1,300,67.063,67.1514,134.214,56.282,1286.56,0.13484,44.7381,1
load_sweep,1,320,67.063,67.1514,134.214,59.0143,1297.73,0.142603,41.942,1
load_sweep,1,339.998,67.063,67.1514,134.214,61.425,1306.72,0.149474,39.4751,1
load_sweep,1,380.004,67.063,67.1514,134.214,65.4861,1320.43,0.161077,35.3192,1
load_sweep,1,420.004,67.063,67.1099,134.173,68.7828,1330.89,0.170571,31.9456,1
load_sweep,1,460.002,67.063,67.1514,134.214,71.4884,1337.86,0.178405,29.1769,1
load_sweep,1,500,67.0641,67.1514,134.215,73.769,1343.75,0.185043,26.8431,1
sta_scaling,1,100,51.1241,51.1459,102.27,0.0618667,0.926974,0.0811131,102.27,1
sta_scaling,5,500,55.1749,54.3398,109.515,78.5965,3162.08,0.78686,21.9029,0.999942
sta_scaling,10,1000,47.3877,47.2087,94.5964,90.7561,3368.19,1.7297,9.45964,0.999996
sta_scaling,15,1500,43.2682,45.4578,88.726,94.2198,2900.9,2.48552,5.91507,0.999391
sta_scaling,18,1800,41.8568,41.9616,83.8184,95.4496,2932.69,3.1801,4.65658,0.999998
sta_scaling,21,2100,42.241,39.4532,81.6942,96.1985,2871.5,3.74515,3.8902,0.998837
sta_scaling,24,2400,38.2132,38.6312,76.8444,96.8712,2867.94,4.63178,3.20185,0.99997
sta_scaling,27,2700,37.2864,44.2571,81.5436,97.0487,2923.86,3.56123,3.02013,0.992745
sta_scaling,30,3000,40.9279,41.1647,82.0926,97.326,2716.94,3.32613,2.73642,0.999992
sta_scaling,35,3500,36.2113,35.9624,72.1737,97.9849,2271.03,5.18719,2.0621,0.999988
sta_scaling,40,4000,41.6025,40.6135,82.216,97.9915,2550.44,3.18962,2.0554,0.999855
stress,5,50.0053,25.5664,25.5664,51.1328,0.0767918,1.33608,0.800187,102.255,1
stress,5,100,50.2225,51.0138,101.236,1.072,72.4226,1.56729,101.236,0.999939
stress,5,200,52.9972,54.8518,107.849,47.3051,1374.59,1.05127,53.9245,0.999704
stress,5,300,54.568,55.1956,109.764,64.2464,2388.25,0.885601,36.5879,0.999967
stress,5,400,54.8441,55.5962,110.44,73.0195,2897.41,0.828285,27.6101,0.999954
stress,10,100.011,43.9056,42.9363,86.842,15.1472,143.803,3.41981,86.8327,0.999875
stress,10,200,45.8082,45.7809,91.5892,55.2496,478.785,1.95695,45.7946,1
stress,10,400,47.7534,48.035,95.7884,76.5989,1949.6,1.75284,23.9471,0.999991
stress,10,600,47.8331,47.26,95.093,84.5125,2622.32,1.6599,15.8488,0.999964
stress,10,800,47.8909,46.6989,94.5898,88.4459,2893.46,1.68952,11.8237,0.999841
stress,15,150.016,43.3107,41.8688,85.1795,44.5144,204.541,3.49059,56.7803,0.999714
stress,15,300,41.883,43.552,85.435,72.171,580.811,2.4569,28.4783,0.999619
stress,15,600,43.1798,44.6981,87.8779,85.6876,1979.1,2.63299,14.6463,0.999702
stress,15,900,45.8202,44.1742,89.9944,90.2286,2478.76,2.454,9.99938,0.999666
stress,15,1200,43.8816,46.509,90.3906,92.6392,2632.93,2.33746,7.53255,0.999156
stress,20,200.021,39.07,39.2556,78.3257,61.7342,273.625,3.64682,39.1587,0.999994
stress,20,400,41.8644,42.6373,84.5017,79.3563,662.09,3.05814,21.1254,0.999916
stress,20,800,38.9958,44.3816,83.3774,89.8155,1998.69,2.86703,10.4222,0.995845
stress,20,1200,40.1092,40.0896,80.1988,93.4692,2678.4,3.65601,6.68323,1
stress,20,1600,40.3635,40.8667,81.2303,95.0389,2786.14,3.73766,5.07689,0.999962
stress,25,250.027,36.8345,38.0909,74.9255,70.7163,287.941,3.94669,29.967,0.999719
stress,25,500,39.225,38.0909,77.316,84.8894,687.977,3.57947,15.4632,0.999785
