scenario,nSta,offeredPerSta,totalOffered,thrTotal,loss,delayMs,jitterMs,efficiency,fairness
load_sweep,5,1,5,5.1194,0,1.26204,0.626378,102.388,1
load_sweep,5,4,20,20.459,0.0373333,1.25744,0.64686,102.295,1
load_sweep,5,7,35,35.7692,0.14018,4.96747,1.59159,102.198,0.999999
load_sweep,5,10,50,50.7311,0.8512,78.2875,1.58045,101.462,0.99997
load_sweep,5,13,65,54.3442,18.3032,341.581,1.26518,83.6064,0.990134
load_sweep,5,17,85,55.3364,36.3847,910.231,1.11141,65.1017,0.989201
load_sweep,5,20,100,55.0319,46.2229,1411.81,1.03918,55.0319,0.978819
load_sweep,5,23,115,54.7339,53.4916,1728.67,0.981811,47.5947,0.982761
load_sweep,5,26,130,54.8332,58.7824,2123.22,0.942578,42.1794,0.997677
load_sweep,5,29,145,54.6924,63.1418,2411.71,0.921309,37.7189,0.996583
load_sweep,5,32,160,54.2929,66.8407,2582.67,0.905038,33.9331,0.991375
load_sweep,5,35,175,54.8212,69.3884,2696.83,0.820809,31.3264,0.975324
load_sweep,5,40,200,54.1946,73.5205,2956.06,0.843767,27.0973,0.987821
load_sweep,5,50,250,53.6849,79.0157,3204.93,0.807974,21.474,0.995882
load_sweep,5,60,300,55.6562,81.8709,3391.38,0.745682,18.5521,0.976687
load_sweep,5,70,350,55.0395,84.633,3466.84,0.77395,15.7256,0.974921
sta_scaling,1,5,5,5.11721,0,0.199369,0.00826951,102.344,1
sta_scaling,5,5,25,25.5642,0.0853242,1.35585,0.814599,102.257,0.999999
sta_scaling,7,5,35,35.7484,0.201121,11.2577,2.48609,102.138,0.999997
sta_scaling,9,5,45,42.8272,7.00844,93.4787,3.32497,95.1715,0.994738
sta_scaling,11,5,55,42.4812,24.5307,166.03,3.4463,77.2385,0.971059
sta_scaling,13,5,65,42.2028,36.5598,193.074,3.46958,64.9274,0.967055
sta_scaling,15,5,75,40.9442,46.6581,246.879,3.53769,54.5923,0.937669
sta_scaling,17,5,85,39.8691,54.1696,257.448,3.58479,46.9048,0.923573
sta_scaling,20,5,100,38.5177,62.3645,299.093,3.62876,38.5177,0.900869
sta_scaling,25,5,125,37.7504,70.4915,280.222,3.78474,30.2003,0.825414
sta_scaling,30,5,150,36.0181,76.538,279.373,4.21376,24.012,0.716534
sta_scaling,35,5,175,34.849,80.5424,302.006,3.80924,19.9137,0.654453
sta_scaling,40,5,200,35.2813,82.7634,224.242,5.44998,17.6406,0.437763
sta_scaling,50,5,250,35.2944,86.2056,256.066,4.1982,14.1177,0.384367
stress,15,80,1200,50.1592,95.9154,3773.12,1.20017,4.17993,0.451445
stress,15,90,1350,42.157,96.9485,3285.54,3.02016,3.12274,0.876698
stress,15,100,1500,43.7059,97.1527,2894.93,2.93308,2.91373,0.822767
stress,15,110,1650,44.5366,97.3624,3015.89,2.73956,2.69919,0.779595
stress,20,80,1600,40.0197,97.5558,3398.6,4.01088,2.50123,0.857499
stress,20,90,1800,41.5828,97.7425,3340.8,3.78021,2.31016,0.826226
stress,20,100,2000,39.5067,98.0697,3481.14,3.89783,1.97533,0.860809
stress,20,110,2200,41.2619,98.1672,3661.04,3.62623,1.87554,0.808528
stress,25,80,2000,39.3408,98.0778,2964.81,4.7967,1.96704,0.82159
stress,25,90,2250,38.3933,98.3325,3267.41,4.87292,1.70637,0.81397
stress,25,100,2500,39.2447,98.466,3042.7,4.42481,1.56979,0.752445
stress,25,110,2750,43.4101,98.4574,3089.51,2.87614,1.57855,0.498217
stress,30,80,2400,40.5524,98.3488,3224.5,3.80415,1.68968,0.562463
stress,30,90,2700,36.5977,98.6754,3055.48,5.50059,1.35547,0.724275
stress,30,100,3000,37.6663,98.7731,3169.49,5.68526,1.25554,0.7523
stress,30,110,3300,38.8157,98.8506,2975.14,4.73686,1.17623,0.676126
