scenario,nSta,offeredPerStaPerLink,totalOffered,thr5,thr6,thrTotal,loss,delayMs,jitterMs,efficiency,fairness
load_sweep,5,2,20,10.2333,10.2322,20.4656,0.00533333,1.2598,0.627338,102.328,1
load_sweep,5,8,80,40.8798,40.8526,81.7324,0.164,9.28998,1.67205,102.166,1
load_sweep,5,14,140,53.7318,54.9424,108.674,24.1513,476.503,1.22277,77.6244,0.999876
load_sweep,5,20,200,54.5014,55.7512,110.253,46.1307,1396.51,1.03519,55.1263,0.999872
load_sweep,5,26,260,54.9598,55.343,110.303,58.5432,2103.91,0.953175,42.4241,0.999988
load_sweep,5,32,320,54.7284,53.15,107.878,67.0567,2526.91,0.900119,33.712,0.999786
load_sweep,5,38,380,54.0822,54.6149,108.697,72.0477,2769.97,0.853911,28.6045,0.999976
load_sweep,5,44,440,54.807,54.2732,109.08,75.7743,3007.93,0.820488,24.791,0.999976
load_sweep,5,50,500,54.831,54.2972,109.128,78.672,3213.96,0.790392,21.8257,0.999976
load_sweep,5,56,560,54.2416,54.6411,108.883,81,3346.92,0.770061,19.4433,0.999987
load_sweep,5,65,650,55.7916,53.7744,109.566,83.5282,3449.72,0.783219,16.8563,0.999661
load_sweep,5,80,800,54.1346,54.7994,108.934,86.6937,3634.11,0.801126,13.6167,0.999963
load_sweep,5,90,900,54.3573,54.2558,108.613,88.2071,3642.3,0.831927,12.0681,0.999999
sta_scaling,1,2.5,5,2.55861,2.55861,5.11721,0,0.200657,0.00940347,102.344,1
sta_scaling,5,2.5,25,12.7919,12.7887,25.5806,0.0213311,1.25529,0.614886,102.322,1
sta_scaling,7,2.5,35,17.9037,17.9026,35.8063,0.0396148,1.60165,0.874709,102.304,1
sta_scaling,9,2.5,45,23.0089,23.01,46.0189,0.0782139,2.00198,1.17466,102.264,1
sta_scaling,11,2.5,55,28.0945,28.0814,56.1758,0.201675,5.35005,2.8869,102.138,1
sta_scaling,13,2.5,65,33.0119,33.0567,66.0686,0.684235,39.7819,5.61545,101.644,1
sta_scaling,15,2.5,75,34.9549,34.8774,69.8323,9.02304,95.6047,6.50064,93.1097,0.999999
sta_scaling,17,2.5,85,35.5727,35.8871,71.4598,17.8554,127.504,6.80092,84.0703,0.999981
sta_scaling,20,2.5,100,35.6928,35.8161,71.5089,30.1291,151.82,6.94511,71.5089,0.999997
sta_scaling,25,2.5,125,33.1647,32.763,65.9278,48.4659,181.24,7.03786,52.7422,0.999963
sta_scaling,30,2.5,150,32.1419,30.7426,62.8845,59.0373,183.811,7.18062,41.923,0.999505
sta_scaling,35,2.5,175,31.9968,29.758,61.7548,65.5199,183.287,7.3022,35.2884,0.998687
sta_scaling,40,2.5,200,30.223,30.8059,61.0289,70.1845,164.041,7.26985,30.5144,0.999909
sta_scaling,50,2.5,250,30.9445,31.2032,62.1477,75.7103,136.384,6.95632,24.8591,0.999983
stress,15,80,2400,42.8763,44.7003,87.5766,96.4342,3464.01,2.73679,3.64902,0.999566
stress,15,90,2700,45.3585,42.5619,87.9204,96.8179,3333.41,2.5535,3.25631,0.998989
stress,15,100,3000,47.1836,43.8805,91.0641,97.0337,3790.99,2.20964,3.03547,0.998686
stress,15,110,3300,48.3057,43.3304,91.6361,97.2865,3703.38,2.29704,2.77685,0.997061
stress,20,80,3200,39.7621,41.1025,80.8646,97.5306,3202.12,3.9427,2.52702,0.999725
stress,20,90,3600,41.096,42.4735,83.5695,97.7316,3252.73,3.749,2.32137,0.999728
stress,20,100,4000,40.8504,40.274,81.1244,98.0181,3434.62,3.92579,2.02811,0.99995
stress,20,110,4400,40.5862,39.3091,79.8953,98.2256,3374.28,3.92652,1.8158,0.999745
stress,25,80,4000,40.1354,38.7186,78.854,98.0736,2903.5,4.11541,1.97135,0.999677
stress,25,90,4500,42.133,39.1956,81.3285,98.2339,3024.26,4.0121,1.8073,0.998697
stress,25,100,5000,37.1729,39.272,76.4449,98.506,3074.03,4.8771,1.5289,0.999247
stress,25,110,5500,36.8258,37.5113,74.3371,98.6792,3263.75,4.92516,1.35158,0.999915
stress,30,80,4800,36.6621,40.2729,76.935,98.4337,2413.63,4.58061,1.60281,0.997802
stress,30,90,5400,36.0126,40.1016,76.1142,98.6226,2746.25,4.7946,1.40952,0.997122
stress,30,100,6000,36.0388,40.1234,76.1622,98.7596,2534.94,4.96445,1.26937,0.997132
stress,30,110,6600,37.1587,39.8811,77.0398,98.8593,2497.05,4.98328,1.16727,0.998753
