scenario,mode,band,nSta,offeredPerSta,totalOffered,width,mcs,thrTotal,loss,delayMs,jitterMs,efficiency,fairness
band_compare,baseline,5,5,20,100,20,EhtMcs7,55.9833,45.1155,1084.09,1.15237,55.9833,0.985653
band_compare,baseline,6,5,20,100,20,EhtMcs7,54.8609,46.2159,1210.37,1.19383,54.8609,0.990386
width_scaling,baseline,5,5,40,200,20,EhtMcs7,54.6424,73.215,2526.23,0.917137,27.3212,0.976775
width_scaling,baseline,5,5,40,200,40,EhtMcs7,107.817,47.1497,1696.99,0.646447,53.9084,0.998115
width_scaling,baseline,5,5,40,200,80,EhtMcs7,200.388,1.77236,79.7996,0.469528,100.194,0.999231
load_sweep,baseline,5,5,1,5,20,EhtMcs7,5.1051,0,1.39913,0.675804,102.102,1
load_sweep,baseline,5,5,3,15,20,EhtMcs7,15.301,0,1.38117,0.669894,102.007,1
load_sweep,baseline,5,5,5,25,20,EhtMcs7,25.4869,0.0671892,1.46181,0.810508,101.948,1
load_sweep,baseline,5,5,7,35,20,EhtMcs7,35.6686,0.088,3.64973,1.58329,101.91,1
load_sweep,baseline,5,5,9,45,20,EhtMcs7,45.8117,0.199098,21.2828,1.90621,101.804,0.999999
load_sweep,baseline,5,5,11,55,20,EhtMcs7,52.3148,6.75744,151.998,1.67451,95.1178,0.997274
load_sweep,baseline,5,5,13,65,20,EhtMcs7,53.6442,19.0911,312.097,1.42492,82.5296,0.996319
load_sweep,baseline,5,5,15,75,20,EhtMcs7,54.2397,29.1031,486.855,1.33369,72.3196,0.981393
load_sweep,baseline,5,5,17,85,20,EhtMcs7,55.0637,36.4902,705.784,1.25752,64.7808,0.985775
load_sweep,baseline,5,5,20,100,20,EhtMcs7,55.9833,45.1155,1084.09,1.15237,55.9833,0.985653
load_sweep,baseline,5,5,25,125,20,EhtMcs7,53.8028,57.8038,1624.12,1.09577,43.0422,0.969015
load_sweep,baseline,5,5,30,150,20,EhtMcs7,54.4454,64.4155,2060.16,1.03838,36.2969,0.988157
sta_scaling,baseline,5,1,10,10,20,EhtMcs7,10.1988,0.0139997,0.230333,0.00404555,101.988,1
sta_scaling,baseline,5,2,10,20,20,EhtMcs7,20.389,0.0559989,0.696957,0.396852,101.945,1
sta_scaling,baseline,5,3,10,30,20,EhtMcs7,30.5706,0.097998,1.03019,0.552774,101.902,1
sta_scaling,baseline,5,4,10,40,20,EhtMcs7,40.748,0.129497,4.2888,1.3179,101.87,0.999999
sta_scaling,baseline,5,5,10,50,20,EhtMcs7,50.3499,1.27677,66.5473,1.79851,100.7,0.999975
sta_scaling,baseline,5,6,10,60,20,EhtMcs7,52.3191,14.513,175.153,1.89115,87.1984,0.996707
sta_scaling,baseline,5,8,10,80,20,EhtMcs7,48.7376,40.2737,274.99,1.9392,60.922,0.921154
sta_scaling,baseline,5,10,10,100,20,EhtMcs7,46.5742,54.3399,359.947,1.99418,46.5742,0.956127
sta_scaling,baseline,5,12,10,120,20,EhtMcs7,46.0159,62.4061,361.117,2.07174,38.3466,0.945927
sta_scaling,baseline,5,14,10,140,20,EhtMcs7,41.6019,70.8676,406.924,2.06615,29.7157,0.966817
sta_scaling,baseline,5,16,10,160,20,EhtMcs7,40.2282,75.3509,394.681,2.32935,25.1426,0.946223
stress,baseline,5,10,40,400,20,EhtMcs7,48.6662,88.0722,2653.54,1.91616,12.1666,0.896123
stress,baseline,5,10,50,500,20,EhtMcs7,46.2158,90.9383,2864.63,2.05106,9.24316,0.967697
stress,baseline,5,10,60,600,20,EhtMcs7,46.6856,92.3718,3063.15,1.99627,7.78093,0.962225
stress,baseline,5,15,40,600,20,EhtMcs7,42.3316,93.0832,2627.17,3.10508,7.05527,0.923567
stress,baseline,5,15,50,750,20,EhtMcs7,41.4891,94.5767,2877.6,3.09935,5.53188,0.884503
stress,baseline,5,15,60,900,20,EhtMcs7,44.8378,95.1158,2630.09,2.93166,4.98197,0.893877
stress,baseline,5,20,40,800,20,EhtMcs7,41.2064,94.9503,2425.28,4.04103,5.1508,0.827001
stress,baseline,5,20,50,1000,20,EhtMcs7,40.2567,96.0533,2710.77,4.23257,4.02567,0.806921
stress,baseline,5,20,60,1200,20,EhtMcs7,41.1421,96.6388,2851.73,4.11364,3.42851,0.87058
