scenario,mode,split,nSta,offeredPerSta,totalOffered,thr5,thr6,thrTotal,loss,delayMs,jitterMs,efficiency,fairness
mode_compare,0,0.5,10,20,200,54.312,0,54.312,73.4637,1417.88,1.62536,27.156,0.5
mode_compare,1,0.5,10,20,200,58.2993,58.244,116.543,43.0581,915.963,0.977012,58.2717,1
mode_compare,2,0.5,10,20,200,57.7565,54.91,112.667,44.9523,1080.9,1.00641,56.3333,0.999362
split_sweep,2,0.1,10,20,200,20.4597,54.7406,75.2003,63.2579,1022.33,1.07992,37.6001,0.827945
split_sweep,2,0.2,10,20,200,40.8936,50.8159,91.7095,55.1917,925.496,1.01024,45.8547,0.98843
split_sweep,2,0.3,10,20,200,58.6738,51.2027,109.877,46.3155,864.659,1.00245,54.9383,0.995398
split_sweep,2,0.4,10,20,200,59.4598,52.5314,111.991,45.2823,1064.82,1.01514,55.9956,0.996187
split_sweep,2,0.5,10,20,200,57.7565,54.91,112.667,44.9523,1080.9,1.00641,56.3333,0.999362
split_sweep,2,0.6,10,20,200,58.0844,56.6661,114.75,43.9341,1021.84,0.991914,57.3752,0.999847
split_sweep,2,0.7,10,20,200,56.3517,58.3128,114.665,43.9761,732.185,0.956105,57.3323,0.999708
split_sweep,2,0.8,10,20,200,56.4548,40.9084,97.3632,52.4294,684.461,0.945621,48.6816,0.975138
split_sweep,2,0.9,10,20,200,55.0033,20.4511,75.4545,63.1337,1087.37,1.09654,37.7272,0.826656
load_sweep,2,0.5,10,10,100,50.8355,50.1466,100.982,1.32829,62.5796,1.55737,100.982,0.999953
load_sweep,2,0.5,10,15,150,55.7217,54.3451,110.067,28.2952,528.257,1.17072,73.3779,0.999844
load_sweep,2,0.5,10,20,200,57.7565,54.91,112.667,44.9523,1080.9,1.00641,56.3333,0.999362
load_sweep,2,0.5,10,25,250,57.409,55.2109,112.62,55.9806,1715.8,0.935243,45.048,0.999619
load_sweep,2,0.5,10,30,300,57.9309,54.6509,112.582,63.3284,2066.15,0.882649,37.5273,0.999152
load_sweep,2,0.5,10,35,350,58.7377,54.5023,113.24,68.3838,2229.1,0.822058,32.3543,0.998603
load_sweep,2,0.5,10,40,400,59.8589,54.0062,113.865,72.1834,2470.31,0.794394,28.4663,0.997365
sta_scaling,2,0.5,5,20,100,58.7119,40.9022,99.6141,2.65915,82.5022,0.589076,99.6141,0.969025
sta_scaling,2,0.5,10,20,200,57.7565,54.91,112.667,44.9523,1080.9,1.00641,56.3333,0.999362
sta_scaling,2,0.5,15,20,300,54.797,50.7164,105.513,65.6315,1506.08,1.39277,35.1711,0.998507
sta_scaling,2,0.5,20,20,400,56.2903,41.9558,98.2461,75.999,1443.54,1.51669,24.5615,0.979156
sta_scaling,2,0.5,25,20,500,54.2837,37.4847,91.7684,82.0652,1383.89,1.66363,18.3537,0.967576
sta_scaling,2,0.5,30,20,600,54.2088,21.9616,76.1704,87.5946,1088.07,1.96339,12.6951,0.84801
