scenario,nSta,mode,speed,m,offeredPerSta,totalOffered,thrTotal,loss,delayMs,jitterMs,efficiency,fairness
baseline,10,0,1.5,2,10,100,60.6858,40.6998,293.616,1.96026,60.6858,0.818763
repeat_test,10,0,1.5,2,10,100,60.6858,40.6998,293.616,1.96026,60.6858,0.818763
repeat_test,10,0,1.5,2,10,100,52.0348,49.1533,324.418,2.23753,52.0348,0.790943
repeat_test,10,0,1.5,2,10,100,57.9537,43.3695,306.029,2.03024,57.9537,0.81946
repeat_test,10,0,1.5,2,10,100,53.473,47.7479,297.235,2.02327,53.473,0.76402
repeat_test,10,0,1.5,2,10,100,44.6835,56.3368,269.676,2.57066,44.6835,0.640377
mobility_sweep,10,0,0,2,10,100,62.1476,39.2714,373.054,1.91908,62.1476,0.901983
mobility_sweep,10,0,0.5,2,10,100,62.6978,38.7338,382.448,1.92313,62.6978,0.884169
mobility_sweep,10,0,1,2,10,100,60.9618,40.4301,347.247,1.92071,60.9618,0.871796
mobility_sweep,10,0,2,2,10,100,60.452,40.9283,273.133,2.02463,60.452,0.80944
mobility_sweep,10,0,3,2,10,100,59.1483,42.2022,297.418,2.12331,59.1483,0.853738
mobility_sweep,10,0,5,2,10,100,54.8916,46.3617,286.722,2.22758,54.8916,0.835928
mobility_sweep,10,0,7,2,10,100,51.1663,50.0019,299.825,2.22958,51.1663,0.815162
mobility_sweep,10,0,10,2,10,100,51.1811,49.9875,284.439,2.23071,51.1811,0.810607
mobility_sweep,10,0,15,2,10,100,53.7776,47.4503,277.2,2.21996,53.7776,0.915472
mobility_sweep,10,0,20,2,10,100,51.353,49.8195,256.504,2.13804,51.353,0.827024
fading_sweep,10,0,1.5,0.5,10,100,49.3509,51.7759,283.124,2.23198,49.3509,0.711484
fading_sweep,10,0,1.5,1,10,100,57.6512,43.6652,250.025,2.19505,57.6512,0.756962
fading_sweep,10,0,1.5,1.5,10,100,59.7073,41.6559,308.201,2.13908,59.7073,0.789663
fading_sweep,10,0,1.5,2,10,100,60.6858,40.6998,293.616,1.96026,60.6858,0.818763
fading_sweep,10,0,1.5,2.5,10,100,61.235,40.1632,314.761,1.99852,61.235,0.847553
fading_sweep,10,0,1.5,3,10,100,62.9738,38.464,349.459,1.95162,62.9738,0.868459
fading_sweep,10,0,1.5,4,10,100,61.4196,39.9827,343.622,1.97165,61.4196,0.888177
load_sweep,10,0,1.5,2,10,100,60.6858,40.6998,293.616,1.96026,60.6858,0.818763
load_sweep,10,0,1.5,2,20,200,64.0554,68.7036,1717.94,1.59307,32.0277,0.759669
load_sweep,10,0,1.5,2,30,300,65.5163,78.6592,2572.64,1.45305,21.8388,0.648251
load_sweep,10,0,1.5,2,40,400,66.6637,83.7142,3109.32,1.36604,16.6659,0.691444
load_sweep,10,0,1.5,2,50,500,65.4406,87.2105,3578.46,1.41955,13.0881,0.701577
load_sweep,10,0,1.5,2,60,600,67.3249,89.035,3699.77,1.34876,11.2208,0.690096
load_sweep,10,0,1.5,2,70,700,64.3158,91.0216,3772.23,1.40589,9.18797,0.740702
load_sweep,10,0,1.5,2,80,800,63.9434,92.1894,3933.7,1.44224,7.99293,0.743307
load_sweep,10,0,1.5,2,90,900,66.0644,92.8269,3684.31,1.33281,7.34049,0.635865
load_sweep,10,0,1.5,2,100,1000,65.4514,93.6041,3923.6,1.41374,6.54514,0.682013
load_sweep,10,0,1.5,2,110,1100,66.7364,94.0714,3890.5,1.42921,6.06695,0.666794
load_sweep,10,0,1.5,2,120,1200,65.9947,94.6258,3659.79,1.42573,5.49956,0.64637
load_sweep,10,0,1.5,2,150,1500,64.8934,95.7724,3957.6,1.50711,4.32623,0.685874
load_sweep,10,0,1.5,2,180,1800,66.2462,96.4036,4064.33,1.52619,3.68034,0.715735
load_sweep,10,0,1.5,2,200,2000,66.0752,96.7716,3996.74,1.50601,3.30376,0.692091
load_sweep,10,0,1.5,2,250,2500,65.6273,97.4348,4109.12,1.58293,2.62509,0.697907
load_sweep,10,0,1.5,2,300,3000,65.1714,97.8772,4234.41,1.52574,2.17238,0.73533
stress_test,10,0,0,1,30,300,63.6723,79.2598,2808.63,1.36277,21.2241,0.722147
stress_test,10,0,0,1,40,400,62.402,84.7553,3291.26,1.4412,15.6005,0.73714
